                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.22865,                0.72115,                      1,                0.77173,             0.00056415,             0.00056415,             0.00056415
                    109,                0.23391,                0.74038,                      1,                0.80722,             0.00056273,             0.00056273,             0.00056273
                    110,                0.24418,                0.71154,                      1,                0.84932,             0.00056132,             0.00056132,             0.00056132
                    111,                0.28604,                0.69231,                      1,                0.82163,              0.0005599,              0.0005599,              0.0005599
                    112,                0.25526,                0.64423,                      1,                0.85607,             0.00055849,             0.00055849,             0.00055849
                    113,                0.25343,                0.65385,                      1,                0.83498,             0.00055708,             0.00055708,             0.00055708
                    114,                0.23072,                  0.625,                      1,                 0.8501,             0.00055566,             0.00055566,             0.00055566
                    115,                0.23588,                0.61538,                      1,                0.84025,             0.00055425,             0.00055425,             0.00055425
                    116,                0.24399,                0.65385,                      1,                0.89422,             0.00055284,             0.00055284,             0.00055284
                    117,                0.27788,                0.67308,                      1,                0.83288,             0.00055142,             0.00055142,             0.00055142
                    118,                0.26271,                0.64423,                      1,                0.90102,             0.00055001,             0.00055001,             0.00055001
                    119,                0.25877,                0.64423,                      1,                0.83109,             0.00054859,             0.00054859,             0.00054859
                    120,                0.22547,                0.65385,                      1,                0.83319,             0.00054718,             0.00054718,             0.00054718
                    121,                0.27786,                0.65385,                      1,                0.87645,             0.00054577,             0.00054577,             0.00054577
                    122,                0.25068,                0.63462,                      1,                0.88857,             0.00054435,             0.00054435,             0.00054435
                    123,                0.24721,                0.64423,                      1,                0.84372,             0.00054294,             0.00054294,             0.00054294
                    124,                0.26411,                0.65385,                      1,                0.82545,             0.00054153,             0.00054153,             0.00054153
                    125,                0.26344,                0.68269,                      1,                 0.8397,             0.00054011,             0.00054011,             0.00054011
                    126,                0.28166,                0.72115,                      1,                0.83109,              0.0005387,              0.0005387,              0.0005387
                    127,                0.21697,                0.72115,                      1,                0.82049,             0.00053728,             0.00053728,             0.00053728
                    128,                0.21435,                0.70192,                      1,                0.84139,             0.00053587,             0.00053587,             0.00053587
                    129,                0.26997,                0.70192,                      1,                0.83232,             0.00053446,             0.00053446,             0.00053446
                    130,                0.24134,                0.66346,                      1,                0.87176,             0.00053304,             0.00053304,             0.00053304
                    131,                 0.1865,                0.67308,                      1,                0.85363,             0.00053163,             0.00053163,             0.00053163
                    132,                0.20718,                0.65385,                      1,                0.86334,             0.00053022,             0.00053022,             0.00053022
                    133,                0.20711,                0.69231,                      1,                0.84009,              0.0005288,              0.0005288,              0.0005288
                    134,                0.27611,                0.71154,                      1,                0.80923,             0.00052739,             0.00052739,             0.00052739
                    135,                0.21137,                0.68269,                      1,                0.84985,             0.00052598,             0.00052598,             0.00052598
                    136,                0.21796,                0.71154,                      1,                0.81446,             0.00052456,             0.00052456,             0.00052456
                    137,                0.21672,                0.73077,                      1,                 0.8361,             0.00052315,             0.00052315,             0.00052315
                    138,                0.27878,                0.70192,                      1,                0.81985,             0.00052173,             0.00052173,             0.00052173
                    139,                0.22928,                0.68269,                      1,                0.83753,             0.00052032,             0.00052032,             0.00052032
                    140,                0.17888,                0.68269,                      1,                0.86462,             0.00051891,             0.00051891,             0.00051891
                    141,                0.22295,                0.68269,                      1,                0.86723,             0.00051749,             0.00051749,             0.00051749
                    142,                0.25459,                0.73077,                      1,                0.83925,             0.00051608,             0.00051608,             0.00051608
                    143,                0.19863,                0.72115,                      1,                0.81477,             0.00051467,             0.00051467,             0.00051467
                    144,                0.20592,                0.68269,                      1,                0.81909,             0.00051325,             0.00051325,             0.00051325
                    145,                0.20419,                0.72115,                      1,                0.82481,             0.00051184,             0.00051184,             0.00051184
                    146,                0.21492,                0.70192,                      1,                0.81389,             0.00051042,             0.00051042,             0.00051042
                    147,                 0.2602,                0.68269,                      1,                0.84028,             0.00050901,             0.00050901,             0.00050901
                    148,                0.22806,                0.68269,                      1,                0.88676,              0.0005076,              0.0005076,              0.0005076
                    149,                0.21952,                0.68269,                      1,                 0.8386,             0.00050618,             0.00050618,             0.00050618
                    150,                0.26071,                0.69231,                      1,                0.81165,             0.00050477,             0.00050477,             0.00050477
                    151,                0.23222,                0.66346,                      1,                   0.89,             0.00050336,             0.00050336,             0.00050336
                    152,                0.18223,                0.66346,                      1,                  0.857,             0.00050194,             0.00050194,             0.00050194
                    153,                0.20854,                0.67308,                      1,                0.84689,             0.00050053,             0.00050053,             0.00050053
                    154,                0.29488,                0.69231,                      1,                0.83172,             0.00049911,             0.00049911,             0.00049911
                    155,                 0.2214,                0.70192,                      1,                0.83487,              0.0004977,              0.0004977,              0.0004977
                    156,                0.21839,                0.70192,                      1,                0.88447,             0.00049629,             0.00049629,             0.00049629
                    157,                0.14742,                0.66346,                      1,                0.81054,             0.00049487,             0.00049487,             0.00049487
                    158,                0.21097,                0.68269,                      1,                0.81516,             0.00049346,             0.00049346,             0.00049346
                    159,                0.25148,                0.70192,                      1,                0.81832,             0.00049205,             0.00049205,             0.00049205
                    160,                0.15235,                0.65385,                      1,                0.91532,             0.00049063,             0.00049063,             0.00049063
                    161,                0.17612,                0.65385,                      1,                0.88358,             0.00048922,             0.00048922,             0.00048922
                    162,                  0.165,                0.67308,                      1,                0.87182,              0.0004878,              0.0004878,              0.0004878
                    163,                0.17716,                0.68269,                      1,                0.84426,             0.00048639,             0.00048639,             0.00048639
                    164,                0.24552,                0.70192,                      1,                0.80853,             0.00048498,             0.00048498,             0.00048498
                    165,                0.21474,                0.70192,                      1,                0.81607,             0.00048356,             0.00048356,             0.00048356
                    166,                0.20774,                0.68269,                      1,                0.79767,             0.00048215,             0.00048215,             0.00048215
                    167,                0.24103,                0.69231,                      1,                0.83823,             0.00048074,             0.00048074,             0.00048074
                    168,                0.14674,                0.69231,                      1,                0.85212,             0.00047932,             0.00047932,             0.00047932
                    169,                0.20918,                0.67308,                      1,                0.86602,             0.00047791,             0.00047791,             0.00047791
                    170,                0.19276,                0.68269,                      1,                0.89174,              0.0004765,              0.0004765,              0.0004765
                    171,                 0.2522,                0.70192,                      1,                 0.8792,             0.00047508,             0.00047508,             0.00047508
                    172,                0.17896,                0.70192,                      1,                0.87824,             0.00047367,             0.00047367,             0.00047367
                    173,                0.14177,                0.70192,                      1,                0.84308,             0.00047225,             0.00047225,             0.00047225
